"TIME","GEO","INDIC_DE","UNIT","Value","Flag and Footnotes"
"2019","Malta","Infant mortality rate","Rate","6.7",""
"2019","Netherlands","Infant mortality rate","Rate","3.6",""
"2019","Austria","Infant mortality rate","Rate","2.9",""
"2019","Poland","Infant mortality rate","Rate","3.8",""
"2019","Portugal","Infant mortality rate","Rate","2.8",""
"2019","Romania","Infant mortality rate","Rate","5.8",""
"2019","Slovenia","Infant mortality rate","Rate","2.1",""
"2019","Slovakia","Infant mortality rate","Rate","5.1",""
"2019","Finland","Infant mortality rate","Rate","2.1",""
"2019","Sweden","Infant mortality rate","Rate","2.1",""
"2019","Iceland","Infant mortality rate","Rate","1.1",""
"2019","Liechtenstein","Infant mortality rate","Rate","0.0",""
"2019","Norway","Infant mortality rate","Rate","2.1",""
"2019","Switzerland","Infant mortality rate","Rate","3.3",""
"2019","United Kingdom","Infant mortality rate","Rate",":",""
"2019","Montenegro","Infant mortality rate","Rate","2.4",""
