"TIME","GEO","ICCS","LEG_STAT","SEX","UNIT","Value","Flag and Footnotes"
"2011","Iceland","Rape","Convicted person","Total","Number",":",""
"2011","Iceland","Sexual assault","Convicted person","Total","Number",":",""
"2011","Liechtenstein","Intentional homicide","Convicted person","Total","Number",":",""
"2011","Liechtenstein","Rape","Convicted person","Total","Number",":",""
"2011","Liechtenstein","Sexual assault","Convicted person","Total","Number",":",""
"2011","Norway","Intentional homicide","Convicted person","Total","Number","22",""
"2011","Norway","Rape","Convicted person","Total","Number","181",""
"2011","Norway","Sexual assault","Convicted person","Total","Number","253",""
"2011","Switzerland","Intentional homicide","Convicted person","Total","Number","30",""
"2011","Switzerland","Rape","Convicted person","Total","Number","98",""
"2011","Switzerland","Sexual assault","Convicted person","Total","Number","544",""
"2011","England and Wales","Intentional homicide","Convicted person","Total","Number","343",""
"2011","England and Wales","Rape","Convicted person","Total","Number","1,153",""
"2011","England and Wales","Sexual assault","Convicted person","Total","Number","4,805",""
"2011","Scotland","Intentional homicide","Convicted person","Total","Number","53",""
"2011","Scotland","Rape","Convicted person","Total","Number","36",""
"2011","Scotland","Sexual assault","Convicted person","Total","Number","151",""
"2011","Northern Ireland (UK)","Intentional homicide","Convicted person","Total","Number","13",""
"2011","Northern Ireland (UK)","Rape","Convicted person","Total","Number","7",""
"2011","Northern Ireland (UK)","Sexual assault","Convicted person","Total","Number","612",""
"2011","Montenegro","Intentional homicide","Convicted person","Total","Number","6",""
"2011","Montenegro","Rape","Convicted person","Total","Number","7",""
"2011","Montenegro","Sexual assault","Convicted person","Total","Number","17",""
"2012","Belgium","Intentional homicide","Convicted person","Total","Number","294",""
"2012","Belgium","Rape","Convicted person","Total","Number","526",""
"2012","Belgium","Sexual assault","Convicted person","Total","Number",":",""
"2012","Bulgaria","Intentional homicide","Convicted person","Total","Number","107",""
"2012","Bulgaria","Rape","Convicted person","Total","Number","99",""
